symbol,timestamp,current_price,action,confidence,signal_count,call_signals,put_signals,risk_level,source,options_action,suggested_expiry,stop_loss,target_price,position_size
RELIANCE.NS,2026-03-30 13:30:16.427857,1345.699951171875,PUT,0.6,2,0,2,medium,Unknown,PUT,2026-04-02,1412.984948730469,1211.1299560546875,SMALL
SBILIFE.NS,2026-03-30 13:30:16.427857,1787.699951171875,CALL,0.6,3,2,1,medium,Unknown,CALL,2026-04-02,1698.3149536132812,1966.4699462890626,SMALL
